filename,forecast_cycle,soh,bin,saved_path
2017-05-12_5_4C-50per_3C_CH14_capacity,750,0.8612,bin_0.85_0.9,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.85_0.9\2017-05-12_5_4C-50per_3C_CH14_capacity_forecast750.csv
2017-05-12_5_4C-50per_3_6C_CH21_capacity,500,0.9814,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_5_4C-50per_3_6C_CH21_capacity_forecast500.csv
2017-05-12_5_4C-50per_3_6C_CH21_capacity,550,0.9771,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_5_4C-50per_3_6C_CH21_capacity_forecast550.csv
2017-05-12_5_4C-50per_3_6C_CH21_capacity,750,0.9398,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.9_0.95\2017-05-12_5_4C-50per_3_6C_CH21_capacity_forecast750.csv
2017-05-12_5_4C-50per_3_6C_CH22_capacity,500,0.9797,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_5_4C-50per_3_6C_CH22_capacity_forecast500.csv
2017-05-12_5_4C-50per_3_6C_CH22_capacity,550,0.9758,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_5_4C-50per_3_6C_CH22_capacity_forecast550.csv
2017-05-12_5_4C-50per_3_6C_CH22_capacity,750,0.9421,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.9_0.95\2017-05-12_5_4C-50per_3_6C_CH22_capacity_forecast750.csv
2017-05-12_5_4C-60per_3C_CH15_capacity,500,0.9773,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_5_4C-60per_3C_CH15_capacity_forecast500.csv
2017-05-12_5_4C-60per_3C_CH15_capacity,550,0.9719,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_5_4C-60per_3C_CH15_capacity_forecast550.csv
2017-05-12_5_4C-60per_3C_CH15_capacity,750,0.9091,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.9_0.95\2017-05-12_5_4C-60per_3C_CH15_capacity_forecast750.csv
2017-05-12_5_4C-60per_3C_CH16_capacity,500,0.9721,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_5_4C-60per_3C_CH16_capacity_forecast500.csv
2017-05-12_5_4C-60per_3C_CH16_capacity,550,0.959,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_5_4C-60per_3C_CH16_capacity_forecast550.csv
2017-05-12_5_4C-60per_3_6C_CH23_capacity,500,0.9794,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_5_4C-60per_3_6C_CH23_capacity_forecast500.csv
2017-05-12_5_4C-60per_3_6C_CH23_capacity,550,0.9734,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_5_4C-60per_3_6C_CH23_capacity_forecast550.csv
2017-05-12_5_4C-60per_3_6C_CH23_capacity,750,0.9102,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.9_0.95\2017-05-12_5_4C-60per_3_6C_CH23_capacity_forecast750.csv
2017-05-12_5_4C-60per_3_6C_CH24_capacity,500,0.9806,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_5_4C-60per_3_6C_CH24_capacity_forecast500.csv
2017-05-12_5_4C-60per_3_6C_CH24_capacity,550,0.9741,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_5_4C-60per_3_6C_CH24_capacity_forecast550.csv
2017-05-12_5_4C-60per_3_6C_CH24_capacity,750,0.9057,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.9_0.95\2017-05-12_5_4C-60per_3_6C_CH24_capacity_forecast750.csv
2017-05-12_5_4C-70per_3C_CH17_capacity,500,0.9486,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.9_0.95\2017-05-12_5_4C-70per_3C_CH17_capacity_forecast500.csv
2017-05-12_5_4C-70per_3C_CH17_capacity,550,0.9347,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.9_0.95\2017-05-12_5_4C-70per_3C_CH17_capacity_forecast550.csv
2017-05-12_5_4C-70per_3C_CH18_capacity,500,0.966,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_5_4C-70per_3C_CH18_capacity_forecast500.csv
2017-05-12_5_4C-70per_3C_CH18_capacity,550,0.9556,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_5_4C-70per_3C_CH18_capacity_forecast550.csv
2017-05-12_5_4C-70per_3C_CH18_capacity,750,0.8405,bin_0.8_0.85,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.8_0.85\2017-05-12_5_4C-70per_3C_CH18_capacity_forecast750.csv
2017-05-12_5_4C-80per_5_4C_CH11_capacity,500,0.8514,bin_0.85_0.9,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.85_0.9\2017-05-12_5_4C-80per_5_4C_CH11_capacity_forecast500.csv
2017-05-12_5_4C-80per_5_4C_CH12_capacity,500,0.8828,bin_0.85_0.9,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.85_0.9\2017-05-12_5_4C-80per_5_4C_CH12_capacity_forecast500.csv
2017-05-12_5_4C-80per_5_4C_CH12_capacity,550,0.8259,bin_0.8_0.85,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.8_0.85\2017-05-12_5_4C-80per_5_4C_CH12_capacity_forecast550.csv
2017-05-12_6C-30per_3_6C_CH31_capacity,500,0.9795,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_6C-30per_3_6C_CH31_capacity_forecast500.csv
2017-05-12_6C-30per_3_6C_CH31_capacity,550,0.9756,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_6C-30per_3_6C_CH31_capacity_forecast550.csv
2017-05-12_6C-30per_3_6C_CH31_capacity,750,0.9465,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.9_0.95\2017-05-12_6C-30per_3_6C_CH31_capacity_forecast750.csv
2017-05-12_6C-30per_3_6C_CH32_capacity,500,0.9812,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_6C-30per_3_6C_CH32_capacity_forecast500.csv
2017-05-12_6C-30per_3_6C_CH32_capacity,550,0.9773,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_6C-30per_3_6C_CH32_capacity_forecast550.csv
2017-05-12_6C-30per_3_6C_CH32_capacity,750,0.9529,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.95_1.0\2017-05-12_6C-30per_3_6C_CH32_capacity_forecast750.csv
2017-05-12_6C-40per_3C_CH25_capacity,500,0.9795,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_6C-40per_3C_CH25_capacity_forecast500.csv
2017-05-12_6C-40per_3C_CH25_capacity,550,0.9762,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_6C-40per_3C_CH25_capacity_forecast550.csv
2017-05-12_6C-40per_3C_CH25_capacity,750,0.9521,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.95_1.0\2017-05-12_6C-40per_3C_CH25_capacity_forecast750.csv
2017-05-12_6C-40per_3C_CH26_capacity,500,0.9745,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_6C-40per_3C_CH26_capacity_forecast500.csv
2017-05-12_6C-40per_3C_CH26_capacity,550,0.9682,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_6C-40per_3C_CH26_capacity_forecast550.csv
2017-05-12_6C-40per_3C_CH26_capacity,750,0.8908,bin_0.85_0.9,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.85_0.9\2017-05-12_6C-40per_3C_CH26_capacity_forecast750.csv
2017-05-12_6C-40per_3_6C_CH33_capacity,500,0.9757,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_6C-40per_3_6C_CH33_capacity_forecast500.csv
2017-05-12_6C-40per_3_6C_CH33_capacity,550,0.9695,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_6C-40per_3_6C_CH33_capacity_forecast550.csv
2017-05-12_6C-40per_3_6C_CH33_capacity,750,0.9046,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.9_0.95\2017-05-12_6C-40per_3_6C_CH33_capacity_forecast750.csv
2017-05-12_6C-40per_3_6C_CH34_capacity,500,0.9754,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_6C-40per_3_6C_CH34_capacity_forecast500.csv
2017-05-12_6C-40per_3_6C_CH34_capacity,550,0.97,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_6C-40per_3_6C_CH34_capacity_forecast550.csv
2017-05-12_6C-40per_3_6C_CH34_capacity,750,0.8961,bin_0.85_0.9,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.85_0.9\2017-05-12_6C-40per_3_6C_CH34_capacity_forecast750.csv
2017-05-12_6C-50per_3C_CH27_capacity,500,0.9738,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_6C-50per_3C_CH27_capacity_forecast500.csv
2017-05-12_6C-50per_3C_CH27_capacity,550,0.9693,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_6C-50per_3C_CH27_capacity_forecast550.csv
2017-05-12_6C-50per_3C_CH27_capacity,750,0.8923,bin_0.85_0.9,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.85_0.9\2017-05-12_6C-50per_3C_CH27_capacity_forecast750.csv
2017-05-12_6C-50per_3C_CH28_capacity,500,0.9763,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_6C-50per_3C_CH28_capacity_forecast500.csv
2017-05-12_6C-50per_3C_CH28_capacity,550,0.971,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_6C-50per_3C_CH28_capacity_forecast550.csv
2017-05-12_6C-50per_3C_CH28_capacity,750,0.9233,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.9_0.95\2017-05-12_6C-50per_3C_CH28_capacity_forecast750.csv
2017-05-12_6C-50per_3_6C_CH35_capacity,500,0.967,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_6C-50per_3_6C_CH35_capacity_forecast500.csv
2017-05-12_6C-50per_3_6C_CH35_capacity,550,0.9532,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_6C-50per_3_6C_CH35_capacity_forecast550.csv
2017-05-12_6C-50per_3_6C_CH36_capacity,500,0.9756,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_6C-50per_3_6C_CH36_capacity_forecast500.csv
2017-05-12_6C-50per_3_6C_CH36_capacity,550,0.9694,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_6C-50per_3_6C_CH36_capacity_forecast550.csv
2017-05-12_6C-50per_3_6C_CH36_capacity,750,0.9079,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.9_0.95\2017-05-12_6C-50per_3_6C_CH36_capacity_forecast750.csv
2017-05-12_6C-60per_3C_CH29_capacity,500,0.9657,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_6C-60per_3C_CH29_capacity_forecast500.csv
2017-05-12_6C-60per_3C_CH29_capacity,550,0.9513,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_6C-60per_3C_CH29_capacity_forecast550.csv
2017-05-12_6C-60per_3C_CH30_capacity,500,0.9644,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_6C-60per_3C_CH30_capacity_forecast500.csv
2017-05-12_6C-60per_3C_CH30_capacity,550,0.9505,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_6C-60per_3C_CH30_capacity_forecast550.csv
2017-05-12_6C-60per_3C_CH30_capacity,750,0.8075,bin_0.8_0.85,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_750\bin_0.8_0.85\2017-05-12_6C-60per_3C_CH30_capacity_forecast750.csv
2017-05-12_7C-30per_3_6C_CH39_capacity,500,0.9699,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_7C-30per_3_6C_CH39_capacity_forecast500.csv
2017-05-12_7C-30per_3_6C_CH39_capacity,550,0.9607,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.95_1.0\2017-05-12_7C-30per_3_6C_CH39_capacity_forecast550.csv
2017-05-12_7C-30per_3_6C_CH40_capacity,500,0.9651,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_7C-30per_3_6C_CH40_capacity_forecast500.csv
2017-05-12_7C-30per_3_6C_CH40_capacity,550,0.9468,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.9_0.95\2017-05-12_7C-30per_3_6C_CH40_capacity_forecast550.csv
2017-05-12_7C-40per_3C_CH37_capacity,500,0.9627,bin_0.95_1.0,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.95_1.0\2017-05-12_7C-40per_3C_CH37_capacity_forecast500.csv
2017-05-12_7C-40per_3C_CH37_capacity,550,0.9448,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.9_0.95\2017-05-12_7C-40per_3C_CH37_capacity_forecast550.csv
2017-05-12_7C-40per_3C_CH38_capacity,500,0.9481,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_500\bin_0.9_0.95\2017-05-12_7C-40per_3C_CH38_capacity_forecast500.csv
2017-05-12_7C-40per_3C_CH38_capacity,550,0.9162,bin_0.9_0.95,C:\Users\seung won\Desktop\대학\2025 여름방학 URP\data\토요타\classified_curves\forecast_550\bin_0.9_0.95\2017-05-12_7C-40per_3C_CH38_capacity_forecast550.csv
